workload,contract,status,evidence,reason
rdt,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
rdt,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
rdt,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
rdt,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
rdt,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
rdt,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
openvla,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
openvla,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
openvla,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
openvla,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
openvla,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
openvla,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
tiny_llama,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
tiny_llama,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
tiny_llama,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
tiny_llama,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
tiny_llama,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
tiny_llama,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
rdt2,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
rdt2,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
rdt2,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
rdt2,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
rdt2,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
rdt2,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
groot_n1d7,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
groot_n1d7,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
groot_n1d7,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
groot_n1d7,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
groot_n1d7,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
groot_n1d7,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
molmoact,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
molmoact,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
molmoact,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
molmoact,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
molmoact,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
molmoact,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
smolvla,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
smolvla,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
smolvla,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
smolvla,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
smolvla,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
smolvla,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
pi05,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
pi05,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
pi05,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
pi05,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
pi05,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
pi05,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
xr0,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
xr0,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
xr0,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
xr0,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
xr0,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
xr0,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
bitvla,low_bit_weight_storage,lost,unavailable,weights are f32 in the capture (dequantized) — native low-bit storage erased
bitvla,scale_zero_point_metadata,erased,unavailable,scales/zero-points folded away when the capture was dequantized
bitvla,packed_lowbit_layout,lost,unavailable,weights stored in dense f32 layout — packed sub-byte layout erased
bitvla,dequant_op,unavailable,unavailable,no dequant op in the capture (folded into f32 weights)
bitvla,requant_op,unavailable,unavailable,no requant op in the capture (f32 datapath)
bitvla,sparsity_metadata,unavailable,unavailable,weights dense — no structured-sparsity metadata
